epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,5133.42,0.89101,0.50277,1.14364,0.708,0.70623,0.71582,0.40859,1.5712,1.03993,2.03735,0.000478762,0.000478762,0.000478762
74,5202.42,0.87165,0.49071,1.13887,0.68927,0.75707,0.73029,0.41078,1.61524,1.01265,2.12848,0.000462259,0.000462259,0.000462259
75,5271.22,0.86663,0.49168,1.14872,0.68708,0.77535,0.73544,0.42527,1.59891,1.01175,2.07704,0.000445756,0.000445756,0.000445756
76,5346.12,0.8788,0.49021,1.14726,0.66417,0.76974,0.72543,0.40763,1.663,1.02116,2.17914,0.000429253,0.000429253,0.000429253
77,5415.59,0.86631,0.49427,1.13926,0.71025,0.75758,0.74142,0.41683,1.64103,0.97306,2.16589,0.000412749,0.000412749,0.000412749
78,5486.12,0.83068,0.47026,1.11092,0.68117,0.76681,0.74539,0.41119,1.61751,1.02963,2.15585,0.000396246,0.000396246,0.000396246
79,5558.5,0.83121,0.46894,1.1102,0.75869,0.71829,0.74187,0.40638,1.62018,0.97379,2.15727,0.000379743,0.000379743,0.000379743
80,5627.56,0.80751,0.44969,1.11048,0.74159,0.70875,0.74128,0.4179,1.57356,0.9382,2.10002,0.000363239,0.000363239,0.000363239
81,5696.61,0.8181,0.46779,1.10799,0.66939,0.76543,0.72059,0.40085,1.59791,1.0046,2.15556,0.000346736,0.000346736,0.000346736
82,5772.02,0.82291,0.47819,1.111,0.68815,0.73953,0.69383,0.39372,1.55802,1.05125,2.0934,0.000330233,0.000330233,0.000330233
83,5841.65,0.8105,0.46447,1.11506,0.66418,0.75441,0.71059,0.40732,1.61501,1.0468,2.1768,0.000313729,0.000313729,0.000313729
84,5912.56,0.7919,0.45368,1.09942,0.70289,0.70014,0.70647,0.3953,1.6157,1.10885,2.18192,0.000297226,0.000297226,0.000297226
85,5981.6,0.78268,0.433,1.09948,0.6828,0.77232,0.72103,0.41043,1.61255,1.05773,2.18093,0.000280723,0.000280723,0.000280723
86,6050.96,0.77051,0.43554,1.08608,0.76879,0.70595,0.73669,0.4233,1.58182,1.07186,2.14222,0.00026422,0.00026422,0.00026422
87,6120.01,0.78218,0.43796,1.09468,0.70422,0.73485,0.72492,0.40588,1.60551,1.09395,2.1878,0.000247716,0.000247716,0.000247716
88,6189.23,0.76233,0.42583,1.07779,0.70429,0.74148,0.72274,0.4096,1.61063,1.05134,2.1906,0.000231213,0.000231213,0.000231213
89,6258.38,0.75742,0.42927,1.08089,0.70659,0.73316,0.72268,0.40951,1.60595,1.06739,2.19619,0.00021471,0.00021471,0.00021471
90,6327.41,0.75166,0.42311,1.07904,0.68013,0.78269,0.73251,0.42101,1.62191,1.09711,2.21441,0.000198206,0.000198206,0.000198206
91,6397.37,0.77957,0.38547,1.13651,0.67284,0.78161,0.73345,0.41975,1.60219,1.04346,2.17797,0.000181703,0.000181703,0.000181703
92,6466.44,0.7205,0.35434,1.09602,0.67694,0.78141,0.73407,0.42762,1.55648,0.99665,2.13553,0.0001652,0.0001652,0.0001652
93,6542.63,0.74305,0.35841,1.11403,0.74085,0.70567,0.73493,0.4272,1.55647,1.03353,2.10892,0.000148696,0.000148696,0.000148696
94,6611.84,0.75482,0.37344,1.12815,0.68463,0.77469,0.73718,0.43026,1.54239,0.99643,2.13033,0.000132193,0.000132193,0.000132193
95,6684.96,0.71769,0.35227,1.09326,0.69411,0.75028,0.72754,0.42438,1.56457,1.09985,2.12327,0.00011569,0.00011569,0.00011569
96,6754,0.71464,0.34745,1.08844,0.70657,0.75489,0.73271,0.42488,1.55042,1.04013,2.11806,9.91865e-05,9.91865e-05,9.91865e-05
97,6826.48,0.72162,0.34625,1.10261,0.71055,0.75028,0.7306,0.42654,1.53972,1.04285,2.12439,8.26832e-05,8.26832e-05,8.26832e-05
98,6896.82,0.69833,0.33827,1.0838,0.7064,0.75477,0.7223,0.4251,1.52252,1.07006,2.1008,6.61799e-05,6.61799e-05,6.61799e-05
99,6966.3,0.6941,0.33645,1.08796,0.6985,0.74949,0.72403,0.42196,1.54536,1.06173,2.11907,4.96766e-05,4.96766e-05,4.96766e-05
100,7035.6,0.68703,0.33901,1.08059,0.70435,0.73962,0.73101,0.42931,1.54148,1.05364,2.11861,3.31733e-05,3.31733e-05,3.31733e-05
